Rotulo;Sigla;Var_mes_jan2023;Var_mes_dez2022;Var_acumulada_2023;Var_anual_12m;BRL_metro_quad;
São Paulo;SP;0,00;0,00;0,00;0,05;8339;
Rio de Janeiro;RJ;0,00;0,00;0,00;0,02;10226;
Belo Horizonte;MG;0,00;0,00;0,00;0,07;9859;
Brasília;DF;0,00;-0,01;0,00;0,01;7654;
Salvador;BA;0,00;0,00;0,00;0,06;8797;
Fortaleza;CE;0,01;0,01;0,01;0,08;5560;
Recife;PE;0,01;0,01;0,01;0,12;6853;
Porto Alegre;RS;0,00;0,00;0,00;0,02;7261;
Curitiba;PR;0,00;0,01;0,00;0,13;6543;
Florianópolis;SC;0,01;0,01;0,01;0,11;8548;
Vitória;ES;-0,02;0,01;-0,02;0,19;9690;
Goiânia;GO;0,01;0,01;0,01;0,20;10444;
João Pessoa;PB;0,01;0,00;0,01;0,11;6259;
Campo Grande;MS;0,02;0,02;0,02;0,14;5463;
Maceió;AL;0,01;0,01;0,01;0,13;5305;
Manaus;AM;0,01;0,00;0,01;0,07;7181;
Barueri;SP;0,01;0,01;0,01;0,09;5877;
Campinas;SP;0,00;0,00;0,00;0,04;8719;
Diadema;SP;0,01;0,01;0,01;0,08;5722;
Guarujá;SP;0,00;0,00;0,00;0,09;5911;
Guarulhos;SP;0,01;0,01;0,01;0,07;5608;
Osasco;SP;0,01;0,01;0,01;0,08;5744;
Praia Grande;SP;0,00;0,00;0,00;0,14;6763;
Ribeirão Preto;SP;0,00;0,00;0,00;0,05;5088;
Santo André;SP;0,01;0,01;0,01;0,10;4383;
Santos;SP;0,01;0,01;0,01;0,08;6433;
São Bernardo do Campo;SP;0,00;0,00;0,00;0,06;5941;
São Caetano do Sul;SP;0,01;0,01;0,01;0,11;5633;
São José do Rio Preto;SP;0,00;0,00;0,00;0,05;7439;
São José dos Campos;SP;0,01;0,02;0,01;0,17;4806;
São Vicente;SP;0,00;0,00;0,00;0,03;6790;
Betim;MG;0,02;0,02;0,02;0,08;4161;
Contagem;MG;0,02;0,01;0,02;0,04;3598;
Londrina;PR;0,01;0,01;0,01;0,05;4461;
São José dos Pinhais;PR;0,01;0,01;0,01;0,08;4393;
Canoas;RS;0,00;0,00;0,00;-0,01;4326;
Caxias do Sul;RS;0,00;0,00;0,00;0,09;4884;
Novo Hamburgo;RS;0,01;0,01;0,01;0,07;4873;
Pelotas;RS;-0,01;0,00;-0,01;0,03;4541;
Santa Maria;RS;0,00;0,00;0,00;0,03;4088;
São Leopoldo;RS;0,00;0,00;0,00;0,04;4808;
Niterói;RJ;0,00;0,00;0,00;0,00;4327;
Balneário Camboriú;SC;0,01;0,01;0,01;0,21;6753;
Blumenau;SC;0,01;0,01;0,01;0,17;11534;
Itajaí;SC;0,01;0,01;0,01;0,16;5501;
Itapema;SC;0,02;0,02;0,02;0,17;9357;
Joinville;SC;0,01;0,01;0,01;0,10;10614;
São José;SC;0,01;0,01;0,01;0,15;5949;
Vila Velha;ES;0,00;0,00;0,00;0,19;6005;
Jaboatão dos Guararape;PE;0,01;0,01;0,01;0,06;7311;
